# 1 Hybird Metropolis method for Square Ising System
# 2 System size L=1000; N=1000000
# 3 Kernel size KERNEL_L=3; KERNEL_N=9
# 4 Exchange integral J=1
# 5 MC Steps. Heatup=25000; Main=1000000
# 6 T	<E>	<E^2>	<M>	<M^2>	step	seed
2.05	-1.70677232628046	2.91307526768416	0.892766555382984	0.797033307149237	100000	191
2.06	-1.69835076680317	2.88439896742386	0.888478508021027	0.789395369245785	100000	192
2.07	-1.68967757574686	2.85501406589175	0.883953155420198	0.78137462046054	100000	193
2.08	-1.68075853711038	2.8249531779392	0.879179842784626	0.772958790431482	100000	194
2.09	-1.67156243504444	2.79412503906013	0.874118060866168	0.764084166969959	100000	195
2.1	-1.6620772433194	2.76250501556084	0.86874547617142	0.75472071554891	100000	196
2.11	-1.65229906272659	2.73009661885199	0.863029383027663	0.744821976446676	100000	197
2.12	-1.64219918319004	2.69682277517564	0.856933348404265	0.734337316048185	100000	198
2.13	-1.63176005219838	2.66264569550773	0.850393272696625	0.723171655182657	100000	199
2.14	-1.62094749868826	2.62747586022005	0.843342116147919	0.711229334971773	100000	200
2.15	-1.60975311269733	2.59131033562326	0.83575395376358	0.698488582653406	100000	201
2.16	-1.5981176579387	2.55398556155992	0.827454137659824	0.684684970726345	100000	202
2.17	-1.58605540951442	2.51557754469255	0.818453611731357	0.669871809881643	100000	203
2.18	-1.57345450042942	2.4757652055634	0.808455119857056	0.653606568513735	100000	204
2.19	-1.56026748386228	2.43444114004075	0.797252703317964	0.635620387200951	100000	205
2.2	-1.54648988561512	2.39163781575898	0.784766564269406	0.615869308192094	100000	1
2.21	-1.5319817864958	2.34697547416492	0.770385157118157	0.593507317356782	100000	2
2.22	-1.51659964350713	2.30008229559831	0.753486455507689	0.567761708788137	100000	3
2.23	-1.50024301322157	2.25073757923797	0.733404214039559	0.537910670984998	100000	4
2.24	-1.48253547444441	2.19792067360874	0.707421093700039	0.500492934599845	100000	5
2.25	-1.46314912045643	2.14081560597251	0.672304576918452	0.452091010909456	100000	6
2.26	-1.44099317064097	2.07647386897311	0.61378253034566	0.377094280316291	100000	7
2.261	-1.43858150801163	2.06952934544989	0.60670423165703	0.368450631634721	100000	8
2.262	-1.43624227014109	2.06280434790534	0.598100223496855	0.358149254186326	100000	9
2.263	-1.43362492708371	2.05529324496222	0.588095353904355	0.346365750394762	100000	10
2.264	-1.430655797695	2.04678944956135	0.570777882257549	0.326754237652942	100000	11
2.265	-1.42809328567296	2.03946456879603	0.557974944095905	0.312469766026171	100000	12
2.266	-1.42511497834743	2.03096746776558	0.540644682155143	0.293484170791866	100000	13
2.267	-1.42195486477351	2.02197089196794	0.518217511999897	0.270292675763463	100000	14
2.268	-1.41933358503739	2.01452286562136	0.494915181047564	0.248424389594889	100000	15
2.269	-1.41633210095738	2.00601224033245	0.483294725811782	0.235820108686989	100000	16
2.27	-1.4112683020017	1.99169586751687	0.348653251499194	0.139366648523036	100000	17
2.271	-1.40839394255743	1.98359061257971	0.275999085190578	0.117093751382807	100000	18
2.272	-1.40506794084428	1.97423415520349	0.300856692112688	0.104513754654681	100000	19
2.273	-1.40145189325889	1.96408153223409	0.136870752781146	0.0465560440536552	100000	20
2.274	-1.39838608340837	1.95549801752799	0.0682682522908002	0.0403016073575397	100000	21
2.275	-1.39618942024594	1.94935923403348	-0.132898906796154	0.0403636241077765	100000	22
2.276	-1.39319857859414	1.94101482359957	0.0463331969831783	0.0213196503850875	100000	23
2.277	-1.39070633392299	1.93407686883065	0.0459730236878906	0.0154525353622532	100000	24
2.278	-1.38865700670855	1.92838064820088	0.0291424375778389	0.0150984066132714	100000	25
2.279	-1.38561973601845	1.91995478312161	-0.0253555809085838	0.009359180573453	100000	26
2.28	-1.38375787755333	1.91479815328864	0.00249315911477107	0.0142103490358924	100000	27
2.281	-1.38148897466452	1.90852400916931	-0.0214774098014397	0.011812692408633	100000	28
2.282	-1.3786481342255	1.9006820718665	-0.00866845566596446	0.00680987686916578	100000	29
2.283	-1.37672676677234	1.89538811480879	0.0161304139096889	0.00493425187757533	100000	30
2.284	-1.37458443028248	1.88949391820414	0.011319649545386	0.0061474100073503	100000	31
2.285	-1.37244668855489	1.88362127775619	-0.00645679327045652	0.00582070900458916	100000	32
2.286	-1.37027698059564	1.87766994970213	0.0156024579793371	0.00538097691130063	100000	33
2.287	-1.36804954808647	1.87157050739319	-0.00147265468625221	0.00374766081758981	100000	34
2.288	-1.36582968516496	1.865501557802	-0.0167709786348695	0.00418567769762406	100000	35
2.289	-1.36408709498968	1.86074426495435	0.0152927577629965	0.00366372418282649	100000	36
2.29	-1.36202549448991	1.85512399557072	0.00118491971705672	0.00345299715581306	100000	37
2.291	-1.35995989187911	1.8495015064009	-0.00127688210296817	0.00248733268106362	100000	38
2.292	-1.3582140345062	1.84475595039652	0.00745331321768405	0.00299939482971612	100000	39
2.293	-1.35604952231773	1.83888062860767	9.09209617396712e-05	0.00268330809981126	100000	40
2.294	-1.35417674602621	1.83380477068899	-0.00362002257289046	0.00245221926047724	100000	41
2.295	-1.35220429775265	1.82846645115859	0.000934380391273946	0.00276095642623494	100000	42
2.296	-1.35030552181522	1.82333495551223	0.000700868794736832	0.00286456543530096	100000	43
2.297	-1.34841070989287	1.81822137168776	-0.0046971241510831	0.00196107335306211	100000	44
2.298	-1.3465406195843	1.81318145937983	-0.000465495186574063	0.00212634476262003	100000	45
2.299	-1.34461676023568	1.80800393963588	-0.00299749786692885	0.00190069504615103	100000	46
2.3	-1.34289686433339	1.80338165767863	-0.00226282556636256	0.00192705855693753	100000	47
2.31	-1.32535713395353	1.75658054994928	0.00237803900258406	0.00114732781047303	100000	48
2.32	-1.30902758824259	1.71356170021177	0.00106511909301026	0.000730871952214938	100000	49
2.33	-1.29373489112293	1.67375802784872	-0.000366775606500146	0.000544314566442132	100000	50
2.34	-1.27923969940985	1.63646200226606	0.00283779746903574	0.000434884280230358	100000	51
2.35	-1.26541156883628	1.6012739101578	6.29581516471236e-06	0.000336515980908491	100000	52
2.36	-1.25211861585943	1.56780823330447	-1.10771972945631e-05	0.000287443299858606	100000	53
2.37	-1.23942104314212	1.53617151743298	0.000869251544599725	0.000247040461563324	100000	54
2.38	-1.2272004672323	1.50602779383017	-0.00012979366201675	0.000211477614783031	100000	55
2.39	-1.2154006087223	1.47720529298927	-0.000362280003791294	0.000183092265433399	100000	56
2.4	-1.20395646712603	1.44951767332793	4.00964137695827e-05	0.000159201511067667	100000	57
2.41	-1.19293795082315	1.42310729538535	0.000184185355911476	0.000137058581868032	100000	206
2.42	-1.18220044598217	1.39760411555582	6.38705314362169e-05	0.000123361191011351	100000	207
2.43	-1.17178386802304	1.37308351508491	0.000256965085769885	0.000112693057377883	100000	208
2.44	-1.16165884606326	1.34945720695244	-0.0002010702740123	0.000102597488171234	100000	209
2.45	-1.15181799547881	1.32669049819945	-0.000161490964170152	9.0526822519277e-05	100000	210
2.46	-1.14221049309182	1.30465054175849	7.19175317413094e-05	8.43946503209137e-05	100000	211
2.47	-1.13286511729588	1.28338898746671	0.000145976274878609	7.9514624967446e-05	100000	212
2.48	-1.12371657688883	1.26274448058178	-3.33712756604668e-06	7.34303888384823e-05	100000	213
2.49	-1.11480597487259	1.24279782179443	-2.14236767484389e-05	6.63891610296631e-05	100000	214
2.5	-1.10608564397787	1.22343083078367	-0.000130041474201553	6.381008926289e-05	100000	215
2.51	-1.09757598558795	1.20467836109318	-7.39274117188895e-05	5.92246428889267e-05	100000	216
2.52	-1.08922421753594	1.18641462028085	-4.32262274728407e-06	5.51907179690346e-05	100000	217
2.53	-1.08105484013057	1.16868473568661	-7.3568229007266e-05	5.22829195083527e-05	100000	218
2.54	-1.07305686146949	1.15145611010183	-6.0710919341047e-05	4.97253610399097e-05	100000	219
2.55	-1.06523868466795	1.13473847935737	-4.0500000442516e-05	4.60257247188901e-05	100000	220
2.56	-1.05755968173726	1.11843746303723	-8.92159814226159e-05	4.37286835236505e-05	100000	221
2.57	-1.05002582436766	1.10255917713921	5.63910678573851e-05	4.14426046089462e-05	100000	222
2.58	-1.04264291043591	1.08710910506018	-5.08888795913284e-05	3.97188977881334e-05	100000	223
2.59	-1.03540508636023	1.07206850251621	-6.85082663964286e-05	3.73304239323279e-05	100000	224
2.6	-1.02828701085523	1.05737893662399	-8.0499355204976e-06	3.53622322081452e-05	100000	225
2.61	-1.02130715311996	1.04307302226256	5.56979654639429e-05	3.41296356520652e-05	100000	226
2.62	-1.01444364529924	1.02910058678164	4.73714261899879e-05	3.28932960287791e-05	100000	227
2.63	-1.00770652859678	1.01547707247352	2.79313359366608e-05	3.14783386637295e-05	100000	228
2.64	-1.00106727207158	1.00214025864728	-9.56253185195585e-06	3.0160965403506e-05	100000	229
2.65	-0.994567074068942	0.989168212162989	1.31354866312223e-05	2.88823585335152e-05	100000	230
2.66	-0.988145403986995	0.976435837066188	-3.69064026302517e-05	2.79914563872073e-05	100000	231
2.67	-0.981842068697568	0.964018310551627	4.52420794631807e-05	2.6849527842063e-05	100000	232
2.68	-0.975643187636496	0.951884048514874	2.5991958051233e-05	2.59302000976963e-05	100000	233
2.69	-0.969539243775905	0.940010724974057	-5.02099621500452e-06	2.50945731643495e-05	100000	234
2.7	-0.96353473726422	0.928403541886885	-1.42069835246258e-05	2.40803339131279e-05	100000	235
2.71	-0.957610445130841	0.917022073650411	1.02489177738613e-05	2.32963684414748e-05	100000	236
2.72	-0.951786797728374	0.905902381771809	1.11000836836792e-05	2.24990844468179e-05	100000	237
2.73	-0.946052442138157	0.89501946393762	8.08025233863425e-05	2.18767296351732e-05	100000	238
2.74	-0.940395381490577	0.884347688499196	-1.0817072661879e-06	2.12751273540961e-05	100000	239
